object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.288,0.773,16987.0,12665.0,11.05434303791954,11.05434303791954,0,2,"[(-1.0, -1.0), (0.288, 0.773)]","[12665.0, 16987.0]",0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.48,0.464,25221.0,9672.0,14.279103613322514,14.279103613322514,0,2,"[(0.708, 0.565), (0.48, 0.464)]","[9672.0, 25221.0]",0,P,a
1,Hat.ico     ,0.381,0.357,0.721,0.506,19558.0,15258.0,70.53095845088168,63.45715562487812,0,2,"[(-1.0, -1.0), (0.721, 0.506)]","[15258.0, 19558.0]",1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.27,0.672,21669.0,4842.0,113.61999999999999,22.718311997153307,0,2,"[(0.808, 0.511), (0.27, 0.672)]","[4842.0, 21669.0]",1,P,a
1,Hat.ico     ,0.512,0.532,0.241,0.778,9922.0,9922.0,69.54025956235712,4.8440685379131505,0,1,"[(0.241, 0.778)]",[9922.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.489,0.521,7159.0,3891.0,60.353044662220654,19.125932656997417,0,2,"[(-1.0, -1.0), (0.489, 0.521)]","[3891.0, 7159.0]",2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.956,0.041,50794.0,50794.0,84.56963816878964,5.161569528738331,0,1,"[(0.956, 0.041)]",[50794.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.115,0.846,53077.0,53077.0,20.54420164474268,20.54420164474268,0,1,"[(0.115, 0.846)]",[53077.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.625,0.317,15789.0,15789.0,35.22083078648645,35.22083078648645,0,1,"[(0.625, 0.317)]",[15789.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.067,0.36,27003.0,27003.0,15.55797223291004,15.55797223291004,0,1,"[(0.067, 0.36)]",[27003.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.115,0.123,4369.0,4369.0,15.56368191260671,15.56368191260671,0,1,"[(0.115, 0.123)]",[4369.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.854,0.464,56293.0,56293.0,71.14726124731266,12.995434711673015,0,1,"[(0.854, 0.464)]",[56293.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.666,0.601,45338.0,45338.0,17.241321742378,17.241321742378,0,1,"[(0.666, 0.601)]",[45338.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.901,0.906,31728.0,31728.0,5.04339857194977,5.04339857194977,0,1,"[(0.901, 0.906)]",[31728.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.195,0.484,10165.0,10165.0,14.966713951149103,14.966713951149103,0,1,"[(0.195, 0.484)]",[10165.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.374,0.655,41829.0,41829.0,71.86394567067268,71.86394567067268,0,1,"[(0.374, 0.655)]",[41829.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.405,0.284,16342.0,16342.0,9.06252637030233,9.06252637030233,0,1,"[(0.405, 0.284)]",[16342.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.116,0.143,4292.0,4292.0,23.505541899730794,23.505541899730794,0,1,"[(0.116, 0.143)]",[4292.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.157,0.909,33046.0,33046.0,83.69882794878313,16.455579600852715,0,1,"[(0.157, 0.909)]",[33046.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.505,0.104,6692.0,6692.0,11.06439506945862,11.06439506945862,0,1,"[(0.505, 0.104)]",[6692.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.104,0.435,19757.0,19757.0,56.93403931813004,24.72016423809474,0,1,"[(0.104, 0.435)]",[19757.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.514,0.546,27382.0,27382.0,77.33746892677573,77.33746892677573,0,1,"[(0.514, 0.546)]",[27382.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.284,0.767,14126.0,14126.0,36.67049222467568,13.596620903739273,0,1,"[(0.284, 0.767)]",[14126.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.909,0.909,23989.0,23989.0,100.15937899168505,48.92453883277798,0,1,"[(0.909, 0.909)]",[23989.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.611,0.892,30237.0,30237.0,55.36606547777563,6.073506383411316,0,1,"[(0.611, 0.892)]",[30237.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.857,0.118,12175.0,12175.0,26.332656531387027,26.332656531387027,0,1,"[(0.857, 0.118)]",[12175.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.484,0.304,17424.0,17424.0,72.15448565404648,8.665333230753433,0,1,"[(0.484, 0.304)]",[17424.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.086,0.893,54721.0,54721.0,30.378653173895785,30.378653173895785,0,1,"[(0.086, 0.893)]",[54721.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.789,0.257,49396.0,49396.0,43.33434987824685,24.25731913238377,0,1,"[(0.789, 0.257)]",[49396.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.094,0.566,5577.0,5577.0,55.03116389828583,39.77585448485047,0,1,"[(0.094, 0.566)]",[5577.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.067,0.099,51544.0,51544.0,16.13346847980313,16.13346847980313,0,1,"[(0.067, 0.099)]",[51544.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.791,0.495,9897.0,9897.0,79.59963336064655,38.883915027442335,0,1,"[(0.791, 0.495)]",[9897.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.36,0.701,41269.0,41269.0,68.36158921020046,68.36158921020046,0,1,"[(0.36, 0.701)]",[41269.0],5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.925,0.922,20378.0,20378.0,6.852211149369601,6.852211149369601,0,1,"[(0.925, 0.922)]",[20378.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.12,0.478,31756.0,27105.0,27.85194176490252,31.16705442026116,0,2,"[(-1.0, -1.0), (0.12, 0.478)]","[27105.0, 31756.0]",5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.696,0.053,60357.0,60357.0,65.26438973128755,9.191143917782643,0,1,"[(0.696, 0.053)]",[60357.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.138,0.896,15054.0,15054.0,6.609160309751917,6.609160309751917,0,1,"[(0.138, 0.896)]",[15054.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.325,0.798,11313.0,11313.0,16.434859161665898,16.434859161665898,0,1,"[(0.325, 0.798)]",[11313.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.821,0.418,27350.0,27350.0,22.37890301154193,22.37890301154193,0,1,"[(0.821, 0.418)]",[27350.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.705,0.15,6006.0,6006.0,13.495351051380611,13.495351051380611,0,1,"[(0.705, 0.15)]",[6006.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.183,0.536,29591.0,29591.0,51.345120091691335,71.46224746724808,0,1,"[(0.183, 0.536)]",[29591.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.108,0.17,3183.0,3183.0,11.301406992051922,11.301406992051922,0,1,"[(0.108, 0.17)]",[3183.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.731,0.648,22084.0,22084.0,126.26712532381791,23.37226759552307,0,1,"[(0.731, 0.648)]",[22084.0],6,B,a
