trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,48.02931496055456,48.02931496055456,17686.0,01,0,0,3,a
1,P,2,6000,37.43016300525743,37.43016300525743,5590.0,01,0,0,2,a
2,P,2,0,123.79819874712608,113.69549627648831,8341.0,10,1,0,2,a
3,B,10,30000,294.47162866160846,191.8486850168057,29370.0,0183456792,0,3,10,a
4,NT,10,30000,534.303667663885,325.2389356149262,35969.0,0423756189,0,3,10,a
5,SimRI,10,0,338.63199888155833,206.84573572958692,41040.0,0123459768,0,3,10,a
6,B,10,30000,354.17252115675285,297.17323757194475,33021.0,0173256489,0,3,10,a
7,NT,10,30000,477.25801592053955,234.04067791723287,47965.0,0827456319,2,0,11,a
8,DivRI,10,0,488.8576431333081,326.6488296024879,40788.0,0143257689,2,0,10,a
9,B,10,30000,568.7058296806815,250.40823149739555,33415.0,5923417068,0,7,11,a
10,NT,10,30000,392.2223640467884,210.9411463589124,32746.0,0137256849,0,5,10,a
11,SimRI,10,0,594.0578746123539,244.65026617010145,51952.0,5237496081,0,7,10,a
12,B,10,30000,447.70823254493877,338.7441518490048,48566.0,0623475189,0,4,12,a
13,NT,10,30000,378.32420940024497,264.7631733236903,32572.0,0183456729,1,0,10,a
14,DivRI,10,0,373.33989160281976,354.2861521359219,41066.0,4081376529,2,4,10,a
15,DB,10,30000,255.6447896065399,255.6447896065399,37304.0,0123456789,0,0,10,b
16,D,10,0,356.03195864122364,300.53060418392226,47650.0,2153470689,0,5,11,b
17,DB,10,30000,373.13965688412776,281.93751075084987,55534.0,0253476189,0,4,13,b
18,D,10,0,353.8075849820183,277.6644378026069,47872.0,0153726489,2,0,11,b
19,C,10,3000,34.8428821249851,34.8428821249851,66587.0,0123456789,0,0,11,b
