object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.225,0.751,6246.0,6246.0,23.65175680578507,23.65175680578507,0,1,"[(0.225, 0.751)]",[6246.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.478,0.402,4225.0,4225.0,25.530797089006057,25.530797089006057,0,1,"[(0.478, 0.402)]",[4225.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.307,0.358,2943.0,2943.0,14.061283725179576,14.061283725179576,0,1,"[(0.307, 0.358)]",[2943.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.762,0.68,5072.0,5072.0,46.63484105258643,46.63484105258643,0,1,"[(0.762, 0.68)]",[5072.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.246,0.731,11928.0,11928.0,63.118045755552345,17.14848681371042,0,1,"[(0.246, 0.731)]",[11928.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.527,0.443,10098.0,10098.0,76.8286326833948,22.116032646024024,0,1,"[(0.527, 0.443)]",[10098.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.753,0.54,14866.0,14866.0,19.7499493670237,19.7499493670237,0,1,"[(0.753, 0.54)]",[14866.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.21,0.806,3824.0,3824.0,20.235486745315725,20.235486745315725,0,1,"[(0.21, 0.806)]",[3824.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.498,0.258,39692.0,25137.0,30.198635511067582,30.198635511067582,0,2,"[(0.484, 0.363), (0.498, 0.258)]","[25137.0, 39692.0]",3,B,a
4,Ambul.ico   ,0.055,0.279,0.118,0.287,10694.0,10694.0,12.066121995073646,12.066121995073646,0,1,"[(0.118, 0.287)]",[10694.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.137,0.078,17383.0,17383.0,6.849435937856579,6.849435937856579,0,1,"[(0.137, 0.078)]",[17383.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.922,0.075,26908.0,26908.0,4.02968652991223,4.02968652991223,0,1,"[(0.922, 0.075)]",[26908.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.517,0.547,22902.0,22902.0,45.38785912228287,61.16513328771709,0,1,"[(0.517, 0.547)]",[22902.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.731,0.813,7294.0,7294.0,37.49566692399998,37.49566692399998,0,1,"[(0.731, 0.813)]",[7294.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.131,0.516,19508.0,19508.0,23.847274241210897,23.847274241210897,0,1,"[(0.131, 0.516)]",[19508.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.397,0.682,28785.0,28785.0,76.32227055334107,52.2786212252905,0,1,"[(0.397, 0.682)]",[28785.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.445,0.443,65053.0,65053.0,22.582607595502004,22.582607595502004,0,1,"[(0.445, 0.443)]",[65053.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.082,0.09,33979.0,33979.0,18.90285163672402,18.90285163672402,0,1,"[(0.082, 0.09)]",[33979.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.058,0.516,23492.0,23492.0,7.299561630673451,34.28118142654946,0,1,"[(0.058, 0.516)]",[23492.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.47,0.069,20280.0,20280.0,5.035427856007899,5.035427856007899,0,1,"[(0.47, 0.069)]",[20280.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.069,0.309,43874.0,43874.0,81.71812227369384,44.90644940738888,0,1,"[(0.069, 0.309)]",[43874.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.874,0.35,61731.0,61731.0,39.37036575903252,39.37036575903252,0,1,"[(0.874, 0.35)]",[61731.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.154,0.873,12281.0,12281.0,18.610303597738532,18.610303597738532,0,1,"[(0.154, 0.873)]",[12281.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.472,0.712,54811.0,30715.0,11.108096146505034,11.108096146505034,0,2,"[(0.464, 0.885), (0.472, 0.712)]","[30715.0, 54811.0]",4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.798,0.865,8691.0,8691.0,23.744316681878594,23.744316681878594,0,1,"[(0.798, 0.865)]",[8691.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.881,0.091,46858.0,46858.0,26.819629005636898,26.819629005636898,0,1,"[(0.881, 0.091)]",[46858.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.702,0.407,39932.0,39932.0,26.344306785337892,26.344306785337892,0,1,"[(0.702, 0.407)]",[39932.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.194,0.89,8850.0,8850.0,31.41548257499554,31.41548257499554,0,1,"[(0.194, 0.89)]",[8850.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.476,0.053,45038.0,21412.0,27.654152836243462,27.654152836243462,0,2,"[(0.528, 0.461), (0.476, 0.053)]","[21412.0, 45038.0]",5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.067,0.339,19100.0,19100.0,11.62576449099155,11.62576449099155,0,1,"[(0.067, 0.339)]",[19100.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.099,0.108,14236.0,14236.0,13.794878774632314,13.794878774632314,0,1,"[(0.099, 0.108)]",[14236.0],5,SimRI,a
