object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.228,0.833,29826.0,21.948906578688604,0,1,"[(0.228, 0.833)]",[29826.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.557,0.487,25073.0,12.091525958289973,0,6,"[(-1.0, -1.0), (-1.0, -1.0), (-1.0, -1.0), (-1.0, -1.0), (-1.0, -1.0), (0.557, 0.487)]","[5878.0, 11803.0, 14365.0, 15941.0, 18581.0, 25073.0]",0,P,a
1,Hat.ico     ,0.381,0.357,0.198,0.233,5679.0,42.00031547500566,0,1,"[(0.198, 0.233)]",[5679.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.854,0.427,7087.0,6.714826877887477,0,2,"[(-1.0, -1.0), (0.854, 0.427)]","[2664.0, 7087.0]",1,P,a
1,Hat.ico     ,0.512,0.532,0.108,0.847,8714.0,97.33509182201453,0,1,"[(0.108, 0.847)]",[8714.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.761,0.555,7056.0,92.80872803783058,0,1,"[(0.761, 0.555)]",[7056.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.9,0.448,15936.0,14.332096845891057,0,1,"[(0.9, 0.448)]",[15936.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.127,0.768,22857.0,5.586587009959487,0,3,"[(0.134, 0.911), (0.146, 0.63), (0.127, 0.768)]","[4876.0, 21420.0, 22857.0]",3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.674,0.107,11725.0,15.468786040614573,0,1,"[(0.674, 0.107)]",[11725.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.067,0.29,7997.0,3.092975913258939,0,1,"[(0.067, 0.29)]",[7997.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.048,0.075,6301.0,16.83221112809607,0,1,"[(0.048, 0.075)]",[6301.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.926,0.11,13164.0,3.878625773306323,0,1,"[(0.926, 0.11)]",[13164.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.682,0.555,17432.0,23.808873990682468,0,1,"[(0.682, 0.555)]",[17432.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.811,0.895,29677.0,16.399013384821195,0,3,"[(0.871, 0.939), (0.857, 0.802), (0.811, 0.895)]","[2647.0, 25930.0, 29677.0]",3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.27,0.462,9862.0,14.14852670618115,0,1,"[(0.27, 0.462)]",[9862.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.442,0.194,14615.0,16.85037300469616,0,1,"[(0.442, 0.194)]",[14615.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.914,0.121,47482.0,99.98913889574419,0,1,"[(0.914, 0.121)]",[47482.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.175,0.168,39922.0,26.961930568859493,0,1,"[(0.175, 0.168)]",[39922.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.056,0.044,41432.0,84.08396279909743,0,1,"[(0.056, 0.044)]",[41432.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.456,0.484,52630.0,82.92872274449341,0,1,"[(0.456, 0.484)]",[52630.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.104,0.914,32188.0,36.60537368390574,0,1,"[(0.104, 0.914)]",[32188.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.838,0.451,48566.0,51.74282945491095,0,1,"[(0.838, 0.451)]",[48566.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.066,0.386,7292.0,110.56710405902832,0,1,"[(0.066, 0.386)]",[7292.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.429,0.844,34060.0,22.765932882269507,0,2,"[(-1.0, -1.0), (0.429, 0.844)]","[16662.0, 34060.0]",4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.866,0.918,2492.0,7.381688150371709,0,1,"[(0.866, 0.918)]",[2492.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.498,0.064,25066.0,50.28973752168528,0,1,"[(0.498, 0.064)]",[25066.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.645,0.426,18037.0,35.446586577553546,0,1,"[(0.645, 0.426)]",[18037.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.175,0.882,11296.0,28.699345014474602,0,1,"[(0.175, 0.882)]",[11296.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.617,0.134,36373.0,3.781060207178932,0,1,"[(0.617, 0.134)]",[36373.0],5,SimRI,a
