object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.262,0.798,16387.0,16387.0,14.641099685474451,14.641099685474451,0,1,"[(0.262, 0.798)]",[16387.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.333,0.614,12053.0,12053.0,37.40877570838158,37.40877570838158,0,1,"[(0.333, 0.614)]",[12053.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.495,0.418,4989.0,4989.0,24.56590523469469,24.56590523469469,0,1,"[(0.495, 0.418)]",[4989.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.775,0.532,8439.0,8439.0,19.291316699489432,19.291316699489432,0,1,"[(0.775, 0.532)]",[8439.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.238,0.271,63316.0,63316.0,71.89862098816639,44.86655993053177,0,1,"[(0.238, 0.271)]",[63316.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.743,0.581,66248.0,66248.0,87.40330428536441,102.51217537444028,0,1,"[(0.743, 0.581)]",[66248.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.825,0.527,47675.0,47675.0,11.406331575050762,45.12649997507008,0,1,"[(0.825, 0.527)]",[47675.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.764,0.238,25363.0,25363.0,153.85171024249243,15.036928035335132,0,1,"[(0.764, 0.238)]",[25363.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.404,0.281,18049.0,18049.0,46.14069731907301,32.001823247595006,0,1,"[(0.404, 0.281)]",[18049.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.088,0.401,37797.0,37797.0,24.013023549732342,24.013023549732342,0,1,"[(0.088, 0.401)]",[37797.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.088,0.176,8753.0,8753.0,26.605945894532695,26.605945894532695,0,1,"[(0.088, 0.176)]",[8753.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.911,0.053,54076.0,54076.0,7.842351953167879,7.842351953167879,0,1,"[(0.911, 0.053)]",[54076.0],3,B,a
