trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,29.43855219007452,29.43855219007452,10731.0,01,0,0,3,a
1,P,2,6000,102.46367304535005,102.46367304535005,7865.0,01,0,0,2,a
2,P,2,0,31.642310673501214,31.642310673501214,29602.0,01,0,0,2,a
3,B,10,30000,824.500216090317,385.3448300856009,106979.0,0239657418,0,8,10,a
4,NT,10,30000,886.4121345581207,642.7370000243432,143110.0,2795481063,0,9,14,a
5,SimRI,10,0,1083.094216365568,873.687136595186,133045.0,2438791506,0,10,11,a
6,B,10,30000,809.3636426819288,534.9683188193738,209248.0,5913482760,0,7,19,a
7,NT,10,30000,900.0370761843691,681.6147116270247,186954.0,9347561028,0,10,12,a
8,DivRI,10,0,692.8249379615343,503.18852210959153,304512.0,0651948372,0,9,11,a
9,B,10,30000,592.7901236844262,493.7472159532119,121525.0,1239546780,1,5,11,a
10,NT,10,30000,748.91497264735,536.8188045428144,129806.0,8246037519,0,9,11,a
11,SimRI,10,0,662.9030941995096,455.06300818775054,105587.0,7850261943,0,10,12,a
12,B,10,30000,596.0324500941961,368.5946058421578,59879.0,6341058729,1,5,10,a
13,NT,10,30000,606.604221814653,422.431464774815,94906.0,1029438765,2,3,10,a
14,DivRI,10,0,708.7775400834797,393.51354495906565,109488.0,6492358701,0,8,10,a
15,DB,10,30000,927.0628788493958,495.8166671273883,134297.0,8015372649,0,9,10,b
16,D,10,0,883.908647887379,535.1272653555434,180800.0,5610872439,0,9,11,b
17,DB,10,30000,636.9510306625905,501.7346107417426,111772.0,8601953247,0,9,11,b
18,D,10,0,681.2861834212745,556.4399530841101,88968.0,0786359421,1,6,10,b
19,C,10,3000,67.87610513177418,67.87610513177418,112407.0,0123456789,0,0,11,b
