object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.634,0.688,19700.0,8900.0,60.02135786534657,60.02135786534657,0,2,"[(-1.0, -1.0), (0.634, 0.688)]","[8900.0, 19700.0]",0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.317,0.371,23628.0,23628.0,48.046338049845176,48.046338049845176,0,1,"[(0.317, 0.371)]",[23628.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.224,0.413,10784.0,5290.0,31.670783065784782,31.670783065784782,0,2,"[(-1.0, -1.0), (0.224, 0.413)]","[5290.0, 10784.0]",1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.74,0.56,13230.0,13230.0,27.301882718962812,27.301882718962812,0,1,"[(0.74, 0.56)]",[13230.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.727,0.626,13491.0,13491.0,44.58365283374613,44.58365283374613,0,1,"[(0.727, 0.626)]",[13491.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.27,0.462,16789.0,16789.0,65.73066407697401,65.73066407697401,0,1,"[(0.27, 0.462)]",[16789.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.8,0.489,15069.0,15069.0,6.617348411561822,6.617348411561822,0,1,"[(0.8, 0.489)]",[15069.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.168,0.879,36412.0,36412.0,27.7614471816555,27.7614471816555,0,1,"[(0.168, 0.879)]",[36412.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.35,0.247,21098.0,21098.0,51.64619640099659,9.495559444830622,0,1,"[(0.35, 0.247)]",[21098.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.167,0.603,12534.0,12534.0,65.13426133764011,56.37879831993583,0,1,"[(0.167, 0.603)]",[12534.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.135,0.168,2435.0,2435.0,23.85067146155012,23.85067146155012,0,1,"[(0.135, 0.168)]",[2435.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.926,0.107,28348.0,4950.0,3.4571311171773726,3.4571311171773726,0,2,"[(0.918, 0.868), (0.926, 0.107)]","[4950.0, 28348.0]",3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.476,0.77,18972.0,18972.0,49.56048261088866,49.56048261088866,0,1,"[(0.476, 0.77)]",[18972.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.941,0.93,31155.0,24842.0,9.71754644936389,9.71754644936389,0,2,"[(0.941, 0.333), (0.941, 0.93)]","[24842.0, 31155.0]",3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.645,0.148,42814.0,42814.0,104.37507165015757,21.14638452727843,0,1,"[(0.645, 0.148)]",[42814.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.491,0.51,39856.0,39856.0,44.24143093049086,44.24143093049086,0,1,"[(0.491, 0.51)]",[39856.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.634,0.121,31373.0,31373.0,54.98194944809092,32.87004952859707,0,1,"[(0.634, 0.121)]",[31373.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.186,0.162,16430.0,16430.0,26.15797010473099,26.15797010473099,0,1,"[(0.186, 0.162)]",[16430.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.104,0.476,22893.0,22893.0,13.435028842544403,13.435028842544403,0,1,"[(0.104, 0.476)]",[22893.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.69,0.664,38733.0,38733.0,123.12002456429684,31.138493889799168,0,1,"[(0.69, 0.664)]",[38733.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.178,0.773,2340.0,2340.0,8.990249960839702,8.990249960839702,0,1,"[(0.178, 0.773)]",[2340.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.467,0.494,20915.0,9476.0,74.80741808136409,34.09481045555174,0,2,"[(0.877, 0.849), (0.467, 0.494)]","[9476.0, 20915.0]",4,NT,a
7,Ant.ico     ,0.217,0.948,0.271,0.93,4433.0,4433.0,10.814989597775854,10.814989597775854,0,1,"[(0.271, 0.93)]",[4433.0],4,NT,a
