trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,22.13335933969933,22.13335933969933,9975.0,01,0,0,2,a
1,P,2,6000,43.55455182497634,43.55455182497634,7336.0,01,0,0,2,a
2,P,2,0,137.15901648633417,30.752614872688284,10082.0,10,1,0,2,a
3,B,10,30000,242.6200159768048,242.6200159768048,36559.0,0123456789,0,0,10,a
4,NT,10,30000,209.94410095895162,164.62089230792532,54195.0,0123496785,1,0,11,a
5,SimRI,10,0,435.39469068519185,288.8504422624398,74610.0,5193427680,1,4,10,a
6,B,10,30000,257.586231035332,224.1373633728888,42234.0,0923156784,0,3,10,a
7,NT,10,30000,528.3307579493099,345.1013351460222,50000.0,4123057689,2,0,10,a
8,DivRI,10,0,329.3704831484295,224.28636742157528,40449.0,0923156784,0,3,10,a
9,B,10,30000,344.0565307771308,216.5621531492539,56798.0,0163452789,1,0,10,a
10,NT,10,30000,508.6979882622067,263.28661152781336,58721.0,3582416709,1,4,10,a
11,SimRI,10,0,530.0462507718526,235.72448925440727,68341.0,5603418729,0,6,10,a
12,B,10,30000,247.42717448900646,229.7112525804861,40138.0,0123476589,1,0,10,a
13,NT,10,30000,204.9786827072679,204.9786827072679,39612.0,0123456789,0,0,10,a
14,DivRI,10,0,289.497079139598,215.2338122543525,33060.0,0123546789,1,0,10,a
15,DB,10,30000,266.0078290403178,207.89337065821869,66882.0,0153486729,0,3,10,b
16,D,10,0,278.34212481119147,195.99967436475922,43061.0,0153486729,0,3,10,b
17,DB,10,30000,366.45365672141304,293.0796181348136,38932.0,0126457389,0,3,10,b
18,D,10,0,345.077591481906,273.09344509884716,48512.0,0124356789,1,0,10,b
19,C,10,3000,86.58652372562922,86.58652372562922,70526.0,0123456789,0,0,14,b
