object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.187,0.798,5225.0,5225.0,28.88562445231192,28.88562445231192,0,1,"[(0.187, 0.798)]",[5225.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.506,0.54,3390.0,3390.0,1.9000000000000017,1.9000000000000017,0,1,"[(0.506, 0.54)]",[3390.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.303,0.366,4253.0,4253.0,14.91832765426474,14.91832765426474,0,1,"[(0.303, 0.366)]",[4253.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.814,0.514,2821.0,2821.0,13.764185409968874,13.764185409968874,0,1,"[(0.814, 0.514)]",[2821.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.167,0.737,18818.0,18818.0,76.24896720612023,59.35789753689056,0,1,"[(0.167, 0.737)]",[18818.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.824,0.516,16473.0,10646.0,106.88238863348816,34.86901203074157,0,2,"[(-1.0, -1.0), (0.824, 0.516)]","[10646.0, 16473.0]",2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.549,0.611,42885.0,42885.0,59.48547721923392,58.79878400103185,0,1,"[(0.549, 0.611)]",[42885.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.309,0.407,36728.0,36728.0,71.82122254250375,19.270857011037364,0,1,"[(0.309, 0.407)]",[36728.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.674,0.198,34819.0,34819.0,19.04073243996439,49.568980020677365,0,1,"[(0.674, 0.198)]",[34819.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.083,0.393,14875.0,14875.0,22.303766498060366,22.303766498060366,0,1,"[(0.083, 0.393)]",[14875.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.088,0.126,12721.0,12721.0,17.787168769728396,17.787168769728396,0,1,"[(0.088, 0.126)]",[12721.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.918,0.143,2682.0,2682.0,9.314991631631024,9.314991631631024,0,1,"[(0.918, 0.143)]",[2682.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.096,0.835,24947.0,24947.0,122.19281338206514,34.46952822224575,0,1,"[(0.096, 0.835)]",[24947.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.909,0.873,5784.0,5784.0,11.4409858192179,11.4409858192179,0,1,"[(0.909, 0.873)]",[5784.0],3,B,a
