trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,74.42449692453843,56.2074960559127,18384.0,10,1,0,2,a
1,P,2,6000,148.08487698595337,148.08487698595337,10083.0,01,0,0,2,a
2,P,2,0,54.927310477796375,54.927310477796375,19526.0,01,0,0,2,a
3,B,10,30000,559.3043362067839,262.0311288867121,85976.0,5921470638,0,8,12,a
4,NT,10,30000,842.2385543788505,376.00631055810913,112905.0,6423108975,1,6,13,a
5,SimRI,10,0,843.4737295584412,332.29903876334924,83280.0,5964210783,0,8,10,a
6,B,10,30000,611.2414098647746,256.72582837746893,74593.0,4103752689,0,5,11,a
7,NT,10,30000,844.3338577664616,480.692495732288,95859.0,8027531649,0,8,11,a
8,DivRI,10,0,552.9363542409541,245.59838680934502,83014.0,4183956207,0,6,10,a
9,B,10,30000,562.1150933988862,260.27009905417646,73536.0,2643108795,0,8,13,a
10,NT,10,30000,753.6570762965388,414.5830706631104,104792.0,5248716309,0,8,15,a
11,SimRI,10,0,901.3741171645436,294.45190012300213,93450.0,2503684791,2,4,11,a
12,B,10,30000,430.7810971713249,302.19597939888644,98062.0,0326451789,0,3,12,a
13,NT,10,30000,852.3141022846485,426.08983425463225,88997.0,7560423891,0,9,10,a
14,DivRI,10,0,900.981747659084,366.692541950114,119168.0,0716842539,0,8,10,a
15,DB,10,30000,722.2333267595257,369.90031772722114,105156.0,5324786901,0,8,10,b
16,D,10,0,961.8558512232632,402.0300805216681,88459.0,6021894375,1,7,11,b
17,DB,10,30000,396.8947357902451,343.83656466080635,69430.0,0123659784,0,3,10,b
18,D,10,0,467.6048369724864,439.31923815066745,204408.0,0123657489,0,3,12,b
19,C,10,3000,99.53250651009174,99.53250651009174,140795.0,0123456789,0,0,16,b
