object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),first time (ms),absolute distance,bestfit_dist,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.176,0.892,12022.0,12022.0,35.469493934929496,35.469493934929496,0,1,"[(0.176, 0.892)]",[12022.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.511,0.647,7591.0,5007.0,21.8508260713411,21.8508260713411,0,2,"[(0.206, 0.926), (0.511, 0.647)]","[5007.0, 7591.0]",0,P,a
1,Hat.ico     ,0.381,0.357,0.255,0.882,9578.0,9578.0,102.58258185481588,102.58258185481588,0,1,"[(0.255, 0.882)]",[9578.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.448,0.678,20824.0,20824.0,84.02469398932674,84.02469398932674,0,1,"[(0.448, 0.678)]",[20824.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.129,0.86,16389.0,16389.0,95.80843021362993,46.80676126373197,0,1,"[(0.129, 0.86)]",[16389.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.432,0.765,19479.0,19479.0,18.94767795799791,41.4448320059329,0,1,"[(0.432, 0.765)]",[19479.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.454,0.579,29803.0,29803.0,73.99591407638667,8.065494405180624,0,1,"[(0.454, 0.579)]",[29803.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.656,0.456,61448.0,61448.0,113.86339765868506,19.3116785811034,0,1,"[(0.656, 0.456)]",[61448.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.633,0.176,7220.0,7220.0,10.53555638636669,10.53555638636669,0,1,"[(0.633, 0.176)]",[7220.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.08,0.385,13233.0,13233.0,20.692561465415533,20.692561465415533,0,1,"[(0.08, 0.385)]",[13233.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.767,0.697,85905.0,85905.0,173.4644727401689,92.91708726786909,0,1,"[(0.767, 0.697)]",[85905.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.514,0.764,97667.0,97667.0,148.1310934739677,84.32074332799348,0,1,"[(0.514, 0.764)]",[97667.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.838,0.508,35772.0,35772.0,38.94391145717383,10.07790482710547,0,1,"[(0.838, 0.508)]",[35772.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.249,0.517,118466.0,118466.0,144.86669566727733,78.07435993445957,0,1,"[(0.249, 0.517)]",[118466.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.074,0.825,106510.0,106510.0,64.96602636852217,28.560730440860947,0,1,"[(0.074, 0.825)]",[106510.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.246,0.685,70751.0,70751.0,84.91253397512875,56.35949877986312,0,1,"[(0.246, 0.685)]",[70751.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.075,0.607,6857.0,6857.0,85.9634405454576,28.996407393200027,0,1,"[(0.075, 0.607)]",[6857.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.633,0.631,72962.0,72962.0,145.87892651099403,70.69634219675018,0,1,"[(0.633, 0.631)]",[72962.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.352,0.457,14145.0,14145.0,60.670721934059756,24.273940759588257,0,1,"[(0.352, 0.457)]",[14145.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.352,0.712,20759.0,20759.0,128.62173016438962,83.93971866901306,0,1,"[(0.352, 0.712)]",[20759.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.751,0.579,31410.0,31410.0,115.97967372612486,27.649359882615325,0,1,"[(0.751, 0.579)]",[31410.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.562,0.484,10051.0,10051.0,62.530786817374995,71.93074794550657,0,1,"[(0.562, 0.484)]",[10051.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.89,0.442,46034.0,46034.0,159.98011282656356,51.657991637306225,0,1,"[(0.89, 0.442)]",[46034.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.238,0.607,36325.0,36325.0,40.41822979795131,33.277674197575756,0,1,"[(0.238, 0.607)]",[36325.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.151,0.399,57620.0,57620.0,175.23919179940697,77.29764034787439,0,1,"[(0.151, 0.399)]",[57620.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.435,0.551,67706.0,67706.0,118.18809457809192,83.95441918088648,0,1,"[(0.435, 0.551)]",[67706.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.685,0.68,23024.0,23024.0,48.63888670600922,20.835126589488237,0,1,"[(0.685, 0.68)]",[23024.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.53,0.491,93806.0,93806.0,89.78053127721984,14.3708027938542,0,1,"[(0.53, 0.491)]",[93806.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.064,0.461,81808.0,81808.0,118.85211933613265,69.06658265623332,0,1,"[(0.064, 0.461)]",[81808.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.255,0.514,29429.0,29429.0,58.631241671995994,34.62225440377908,0,1,"[(0.255, 0.514)]",[29429.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.195,0.366,88443.0,88443.0,62.667318377307325,62.667318377307325,0,1,"[(0.195, 0.366)]",[88443.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.72,0.491,75920.0,75920.0,83.83635773186569,70.4512759264824,0,1,"[(0.72, 0.491)]",[75920.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.917,0.465,34452.0,34452.0,54.82790326562011,6.505990066407725,0,1,"[(0.917, 0.465)]",[34452.0],5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.14,0.664,43815.0,43815.0,151.17687600111185,97.4316664089019,0,1,"[(0.14, 0.664)]",[43815.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.396,0.792,65395.0,65395.0,55.69722907430423,3.981359829947685,0,1,"[(0.396, 0.792)]",[65395.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.36,0.603,57804.0,57804.0,62.757929516813995,62.757929516813995,0,1,"[(0.36, 0.603)]",[57804.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.148,0.664,99164.0,99164.0,50.35035848928983,50.35035848928983,0,1,"[(0.148, 0.664)]",[99164.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.546,0.432,71925.0,71925.0,95.71100975919015,29.194788029095086,0,1,"[(0.546, 0.432)]",[71925.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.727,0.764,80204.0,80204.0,52.559989535767606,40.45884822878675,0,1,"[(0.727, 0.764)]",[80204.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.72,0.244,10906.0,10906.0,24.488634098291392,24.488634098291392,0,1,"[(0.72, 0.244)]",[10906.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.44,0.783,3870.0,3870.0,16.826291702279647,29.95070171949574,0,1,"[(0.44, 0.783)]",[3870.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.232,0.228,64576.0,64576.0,37.30682779331419,37.30682779331419,0,1,"[(0.232, 0.228)]",[64576.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.704,0.593,40958.0,40958.0,120.55587810851338,39.657579583085216,0,1,"[(0.704, 0.593)]",[40958.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.274,0.607,46981.0,46981.0,85.94781658806933,25.470956945831553,0,1,"[(0.274, 0.607)]",[46981.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.167,0.399,19742.0,19742.0,41.512233466711294,50.581467197529435,0,1,"[(0.167, 0.399)]",[19742.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.888,0.314,102010.0,102010.0,127.32855317111536,38.55744409487683,0,1,"[(0.888, 0.314)]",[102010.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.42,0.173,43929.0,43929.0,24.74067671966313,83.76241360113067,0,1,"[(0.42, 0.173)]",[43929.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.052,0.631,65466.0,65466.0,17.924564150907543,17.924564150907543,0,1,"[(0.052, 0.631)]",[65466.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.382,0.438,34278.0,34278.0,91.7837548435215,59.82745795518689,0,1,"[(0.382, 0.438)]",[34278.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.862,0.835,9857.0,9857.0,30.52147604556504,30.52147604556504,0,1,"[(0.862, 0.835)]",[9857.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.211,0.552,17413.0,17413.0,42.58925333931085,8.665333230753447,0,1,"[(0.211, 0.552)]",[17413.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.318,0.87,4107.0,4107.0,16.302398596525613,16.302398596525613,0,1,"[(0.318, 0.87)]",[4107.0],7,NT,a
7,Butterf.ico ,0.109,0.822,0.113,0.821,7163.0,7163.0,0.7833900688673563,0.7833900688673563,0,1,"[(0.113, 0.821)]",[7163.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.642,0.337,28283.0,28283.0,59.30465833305172,59.30465833305172,0,1,"[(0.642, 0.337)]",[28283.0],7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.104,0.372,22740.0,22740.0,25.4973184866031,59.21980181972305,0,1,"[(0.104, 0.372)]",[22740.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.475,0.645,50929.0,50929.0,116.85061788454523,29.248893996183853,0,1,"[(0.475, 0.645)]",[50929.0],7,NT,a
1,Bike.ico    ,0.149,0.929,0.167,0.595,99345.0,99345.0,63.55208887204261,24.20394182772715,0,1,"[(0.167, 0.595)]",[99345.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.533,0.451,96309.0,96309.0,91.38502225224762,11.776200863767317,0,1,"[(0.533, 0.451)]",[96309.0],8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.705,0.517,71392.0,71392.0,31.017172662897572,27.38373970077864,0,1,"[(0.705, 0.517)]",[71392.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.862,0.382,24546.0,24546.0,62.07506745868264,60.68410829863121,0,1,"[(0.862, 0.382)]",[24546.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.096,0.344,65305.0,65305.0,90.28480193869956,23.54757918704606,0,1,"[(0.096, 0.344)]",[65305.0],8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.483,0.697,77088.0,77088.0,133.01357073622222,38.97640568343879,0,1,"[(0.483, 0.697)]",[77088.0],8,DivRI,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.68,0.849,84825.0,84825.0,126.47135682549919,18.639187870418017,0,1,"[(0.68, 0.849)]",[84825.0],8,DivRI,a
8,Boot.ico    ,0.7014493,0.4589666,0.342,0.825,89593.0,89593.0,97.47282388243609,11.046965003855359,0,1,"[(0.342, 0.825)]",[89593.0],8,DivRI,a
9,bottle.ico  ,0.3391304,0.2644377,0.301,0.446,41579.0,29272.0,35.24937648093573,35.24937648093573,0,3,"[(0.356, 0.408), (0.132, 0.243), (0.301, 0.446)]","[29272.0, 36258.0, 41579.0]",8,DivRI,a
10,Bow.ico     ,0.5913044,0.9148936,0.101,0.811,104286.0,104286.0,95.22626465723387,20.993818682877887,0,1,"[(0.101, 0.811)]",[104286.0],8,DivRI,a
1,Calcul.ico  ,0.603,0.239,0.091,0.432,67909.0,67909.0,103.96195121293175,60.51671504634072,0,1,"[(0.091, 0.432)]",[67909.0],9,B,a
2,Camel.ico   ,0.679,0.674,0.77,0.892,52655.0,52655.0,44.88385567216791,57.93037372570628,0,1,"[(0.77, 0.892)]",[52655.0],9,B,a
3,Camera.ico  ,0.278,0.346,0.246,0.536,58938.0,58938.0,36.608419796544084,36.608419796544084,0,1,"[(0.246, 0.536)]",[58938.0],9,B,a
4,Candle.ico  ,0.2318841,0.09118541,0.448,0.873,40228.0,40228.0,154.11566723355992,70.06928863251989,0,1,"[(0.448, 0.873)]",[40228.0],9,B,a
5,Cap.ico     ,0.684058,0.9392097,0.423,0.65,20729.0,20729.0,74.02530939324097,18.630450109566567,0,1,"[(0.423, 0.65)]",[20729.0],9,B,a
6,Cards.ico   ,0.8231884,0.4650456,0.546,0.727,28262.0,28262.0,72.46290054599326,72.46290054599326,0,1,"[(0.546, 0.727)]",[28262.0],9,B,a
7,Carrot.ico  ,0.2753623,0.8054711,0.277,0.825,10851.0,10851.0,3.7235152576093933,3.7235152576093933,0,1,"[(0.277, 0.825)]",[10851.0],9,B,a
8,Caterp.ico  ,0.885,0.221,0.585,0.557,70651.0,70651.0,85.58355916880299,20.9034542600021,0,1,"[(0.585, 0.557)]",[70651.0],9,B,a
9,CD.ico      ,0.094,0.557,0.077,0.704,5571.0,5571.0,28.116148384869486,28.116148384869486,0,1,"[(0.077, 0.704)]",[5571.0],9,B,a
10,Eagle.ico   ,0.4637681,0.5896657,0.775,0.219,45435.0,45435.0,91.96046258094296,13.8351650875951,0,1,"[(0.775, 0.219)]",[45435.0],9,B,a
1,Calcul.ico  ,0.2927536,0.212766,0.334,0.712,27786.0,27786.0,95.17764583613871,31.093522853955545,0,1,"[(0.334, 0.712)]",[27786.0],10,NT,a
2,Camel.ico   ,0.6289855,0.08510638,0.948,0.697,64307.0,46941.0,131.1115720597959,105.52436451750398,0,2,"[(-1.0, -1.0), (0.948, 0.697)]","[46941.0, 64307.0]",10,NT,a
3,Camera.ico  ,0.3681159,0.556231,0.341,0.56,10661.0,10661.0,5.201551106789296,30.29762900585688,0,1,"[(0.341, 0.56)]",[10661.0],10,NT,a
4,Candle.ico  ,0.2637681,0.8632219,0.246,0.821,17087.0,17087.0,8.70356428376571,8.70356428376571,0,1,"[(0.246, 0.821)]",[17087.0],10,NT,a
5,Cap.ico     ,0.581,0.461,0.555,0.832,53962.0,53962.0,70.66288771342421,19.3548366048386,0,1,"[(0.555, 0.832)]",[53962.0],10,NT,a
6,Cards.ico   ,0.8550724,0.2218845,0.738,0.716,33301.0,33301.0,96.48110839936778,96.48110839936778,0,1,"[(0.738, 0.716)]",[33301.0],10,NT,a
7,Carrot.ico  ,0.8869565,0.8449848,0.895,0.83,59060.0,59060.0,3.2313527586397943,3.2313527586397943,0,1,"[(0.895, 0.83)]",[59060.0],10,NT,a
8,Caterp.ico  ,0.567,0.695,0.557,0.56,40204.0,40204.0,25.720274104293658,26.129663220179474,0,1,"[(0.557, 0.56)]",[40204.0],10,NT,a
9,CD.ico      ,0.074,0.421,0.096,0.664,4921.0,4921.0,46.358831952498555,46.358831952498555,0,1,"[(0.096, 0.664)]",[4921.0],10,NT,a
10,Eagle.ico   ,0.878,0.575,0.251,0.371,70671.0,70671.0,125.27687136898015,26.724565478226204,0,1,"[(0.251, 0.371)]",[70671.0],10,NT,a
1,Calcul.ico  ,0.679,0.674,0.064,0.664,64681.0,64681.0,116.86544613357705,20.835126589488247,0,1,"[(0.064, 0.664)]",[64681.0],11,SimRI,a
2,Camel.ico   ,0.278,0.346,0.413,0.911,46441.0,46441.0,110.37184876588778,39.898190435156344,0,1,"[(0.413, 0.911)]",[46441.0],11,SimRI,a
3,Camera.ico  ,0.2318841,0.09118541,0.604,0.754,53550.0,53550.0,144.42417594489982,86.976960049966,0,1,"[(0.604, 0.754)]",[53550.0],11,SimRI,a
4,Candle.ico  ,0.684058,0.9392097,0.337,0.415,68580.0,68580.0,119.4501856183784,51.77917513851539,0,1,"[(0.337, 0.415)]",[68580.0],11,SimRI,a
5,Cap.ico     ,0.885,0.221,0.382,0.645,18879.0,18879.0,124.99415386329075,33.182073473488664,0,1,"[(0.382, 0.645)]",[18879.0],11,SimRI,a
6,Cards.ico   ,0.094,0.557,0.214,0.546,57804.0,57804.0,22.89559127867197,21.113950364628593,0,1,"[(0.214, 0.546)]",[57804.0],11,SimRI,a
7,Carrot.ico  ,0.2753623,0.8054711,0.191,0.75,33546.0,33546.0,19.183452909568967,19.183452909568967,0,1,"[(0.191, 0.75)]",[33546.0],11,SimRI,a
8,Caterp.ico  ,0.8231884,0.4650456,0.68,0.546,38051.0,38051.0,31.252853199964193,31.252853199964193,0,1,"[(0.68, 0.546)]",[38051.0],11,SimRI,a
9,CD.ico      ,0.603,0.239,0.069,0.519,13261.0,13261.0,114.56164977862356,60.60136302097502,0,1,"[(0.069, 0.519)]",[13261.0],11,SimRI,a
10,Eagle.ico   ,0.4637681,0.5896657,0.751,0.333,42065.0,42065.0,73.18810011348162,18.758982923415925,0,1,"[(0.751, 0.333)]",[42065.0],11,SimRI,a
