index,obj_name,correct_x,correct_y,placed_x_final,placed_y_final,time_ms_final,placed,distance,correct_binary,participant,group,trial,run
1,Hat.ico     ,0.339,0.801,0.187,0.798,5225.0,1,0.15202960238058905,0,controle12,HC,0,a
2,HORLOGE.ICO ,0.512,0.532,0.506,0.54,3390.0,1,0.010000000000000009,1,controle12,HC,0,a
1,Hat.ico     ,0.381,0.357,0.303,0.366,4253.0,1,0.07851751396981442,1,controle12,HC,1,a
2,HORLOGE.ICO ,0.822,0.442,0.814,0.514,2821.0,1,0.07244308110509934,1,controle12,HC,1,a
1,Hat.ico     ,0.512,0.532,0.167,0.737,18818.0,1,0.40131035371642226,0,controle12,HC,2,a
2,HORLOGE.ICO ,0.339,0.801,0.824,0.516,16473.0,1,0.5625388875446745,0,controle12,HC,2,a
1,AARDAPP.ICO ,0.827,0.467,0.549,0.611,42885.0,1,0.3130814590485996,0,controle12,HC,3,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.309,0.407,36728.0,1,0.37800643443423027,0,controle12,HC,3,a
3,Alarm.ico   ,0.5971014,0.1337386,0.674,0.198,34819.0,1,0.10021438126297047,0,controle12,HC,3,a
4,Ambul.ico   ,0.055,0.279,0.083,0.393,14875.0,1,0.1173882447266335,0,controle12,HC,3,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.088,0.126,12721.0,1,0.09361667773541262,1,controle12,HC,3,a
6,Anchor.ico  ,0.9130435,0.09422492,0.918,0.143,2682.0,1,0.04902627174542644,1,controle12,HC,3,a
7,Ant.ico     ,0.7188406,0.674772,0.096,0.835,24947.0,1,0.6431200704319218,0,controle12,HC,3,a
8,Apple.ico   ,0.8898551,0.9300912,0.909,0.873,5784.0,1,0.060215714837988946,1,controle12,HC,3,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.058,0.615,28336.0,1,0.21270841152998624,0,controle12,HC,3,a
10,Bag.ico     ,0.4405797,0.2826748,0.337,0.154,32730.0,1,0.16518461916028987,0,controle12,HC,3,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.393,0.648,43831.0,1,0.3247717971041359,0,controle12,HC,4,a
2,AARDBEI.ICO ,0.159,0.027,0.121,0.146,2966.0,1,0.12491997438360287,0,controle12,HC,4,a
3,Alarm.ico   ,0.034,0.486,0.154,0.408,45660.0,1,0.14312232530251875,0,controle12,HC,4,a
4,Ambul.ico   ,0.4869565,0.04863222,0.408,0.146,19738.0,1,0.12535794140930365,0,controle12,HC,4,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.146,0.634,32249.0,1,0.09642180785994416,1,controle12,HC,4,a
6,Anchor.ico  ,0.73,0.201,0.62,0.233,37672.0,1,0.11456002793295747,0,controle12,HC,4,a
7,Ant.ico     ,0.217,0.948,0.134,0.915,34442.0,1,0.0893196506934504,1,controle12,HC,4,a
8,Apple.ico   ,0.415,0.725,0.628,0.697,42049.0,1,0.21483249288690018,0,controle12,HC,4,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.893,0.941,8309.0,1,0.005832276106289885,1,controle12,HC,4,a
10,Bag.ico     ,0.759,0.02,0.884,0.186,5264.0,1,0.20780038498520642,0,controle12,HC,4,a
