object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.352,0.828,8645.0,5.693663144233226,0,1,"[(0.352, 0.828)]",[8645.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.612,0.513,5395.0,19.33990951374902,0,1,"[(0.612, 0.513)]",[5395.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.292,0.374,4779.0,17.215719560912934,0,1,"[(0.292, 0.374)]",[4779.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.775,0.464,6971.0,9.859883366450122,0,1,"[(0.775, 0.464)]",[6971.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.233,0.75,8934.0,67.27314843234261,0,1,"[(0.233, 0.75)]",[8934.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.633,0.454,12498.0,86.41240940976013,0,1,"[(0.633, 0.454)]",[12498.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.746,0.442,22183.0,16.106352783917277,0,1,"[(0.746, 0.442)]",[22183.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.115,0.893,19026.0,29.432196199058072,0,1,"[(0.115, 0.893)]",[19026.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.429,0.203,16196.0,34.54408085114311,0,1,"[(0.429, 0.203)]",[16196.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.097,0.298,13211.0,8.75856723442824,0,1,"[(0.097, 0.298)]",[13211.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.064,0.086,10213.0,15.082228184283684,0,1,"[(0.064, 0.086)]",[10213.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.86,0.107,7627.0,10.366438238920644,0,1,"[(0.86, 0.107)]",[7627.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.614,0.768,37990.0,26.6562696426975,0,1,"[(0.614, 0.768)]",[37990.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.874,0.855,4134.0,14.581893489377338,0,1,"[(0.874, 0.855)]",[4134.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.244,0.56,27910.0,5.202956113164995,0,1,"[(0.244, 0.56)]",[27910.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.571,0.344,34380.0,27.382576148664175,0,1,"[(0.571, 0.344)]",[34380.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.213,0.513,77015.0,54.37721005175261,0,1,"[(0.213, 0.513)]",[77015.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.135,0.849,40481.0,156.24655516202589,0,1,"[(0.135, 0.849)]",[40481.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.262,0.205,68034.0,68.75401442824995,0,1,"[(0.262, 0.205)]",[68034.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.115,0.134,26114.0,72.50916201924458,0,1,"[(0.115, 0.134)]",[26114.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.069,0.442,72042.0,57.25985916292823,0,1,"[(0.069, 0.442)]",[72042.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.625,0.339,55987.0,32.94678891789001,0,1,"[(0.625, 0.339)]",[55987.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.47,0.547,82680.0,90.08685253687132,0,1,"[(0.47, 0.547)]",[82680.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.301,0.792,48476.0,25.123863158360027,0,1,"[(0.301, 0.792)]",[48476.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.873,0.898,5609.0,9.212703347516303,0,1,"[(0.873, 0.898)]",[5609.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.585,0.06,32440.0,33.922317137837155,0,1,"[(0.585, 0.06)]",[32440.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.36,0.483,81801.0,88.78206181431021,0,1,"[(0.36, 0.483)]",[81801.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.175,0.86,55573.0,24.76592625725612,0,1,"[(0.175, 0.86)]",[55573.0],5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.401,0.217,93960.0,40.478571308907526,0,1,"[(0.401, 0.217)]",[93960.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.143,0.39,49622.0,26.913686109487116,0,1,"[(0.143, 0.39)]",[49622.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.131,0.091,13387.0,9.205520294519001,0,1,"[(0.131, 0.091)]",[13387.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.846,0.127,22855.0,14.178936034884853,0,1,"[(0.846, 0.127)]",[22855.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.593,0.776,37361.0,30.68542034556797,0,1,"[(0.593, 0.776)]",[37361.0],5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.827,0.846,45076.0,19.947370148356537,0,1,"[(0.827, 0.846)]",[45076.0],5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.912,0.527,89708.0,124.8253746629888,0,1,"[(0.912, 0.527)]",[89708.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.579,0.318,66965.0,27.142781294064037,0,1,"[(0.579, 0.318)]",[66965.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.12,0.925,54889.0,5.56216684395569,0,1,"[(0.12, 0.925)]",[54889.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.287,0.87,21387.0,7.663392654940367,0,1,"[(0.287, 0.87)]",[21387.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.789,0.566,32044.0,16.824390033519776,0,1,"[(0.789, 0.566)]",[32044.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.435,0.178,13260.0,38.23723447112775,0,1,"[(0.435, 0.178)]",[13260.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.374,0.787,46090.0,9.914598059941971,0,1,"[(0.374, 0.787)]",[46090.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.115,0.219,6311.0,18.39765202410351,0,1,"[(0.115, 0.219)]",[6311.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.115,0.696,24855.0,23.037131860818484,0,1,"[(0.115, 0.696)]",[24855.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.57,0.47,39840.0,25.063192600632625,0,1,"[(0.57, 0.47)]",[39840.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.219,0.45,15754.0,42.00017803170297,0,1,"[(0.219, 0.45)]",[15754.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.486,0.939,51001.0,20.525395976924578,0,1,"[(0.486, 0.939)]",[51001.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.303,0.228,28997.0,46.097163835174086,0,1,"[(0.303, 0.228)]",[28997.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.115,0.467,31050.0,16.914269124026614,0,1,"[(0.115, 0.467)]",[31050.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.454,0.116,41573.0,71.15495675433762,0,1,"[(0.454, 0.116)]",[41573.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.862,0.797,4660.0,24.147946082431133,0,1,"[(0.862, 0.797)]",[4660.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.413,0.355,25335.0,11.029823208011996,0,1,"[(0.413, 0.355)]",[25335.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.307,0.911,20623.0,11.182593616867242,0,1,"[(0.307, 0.911)]",[20623.0],7,NT,a
7,Butterf.ico ,0.109,0.822,0.108,0.808,16680.0,2.666777081047439,0,1,"[(0.108, 0.808)]",[16680.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.847,0.157,58474.0,9.500000000000009,0,2,"[(0.814, 0.262), (0.847, 0.157)]","[11598.0, 58474.0]",7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.118,0.2,38911.0,10.75707931398072,0,1,"[(0.118, 0.2)]",[38911.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.549,0.233,49576.0,40.924165232781476,0,1,"[(0.549, 0.233)]",[49576.0],7,NT,a
1,Bike.ico    ,0.149,0.929,0.555,0.925,47516.0,77.14374375151884,0,1,"[(0.555, 0.925)]",[47516.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.292,0.893,10299.0,6.408086156083891,0,1,"[(0.292, 0.893)]",[10299.0],8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.83,0.568,17273.0,10.76144971646478,0,1,"[(0.83, 0.568)]",[17273.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.405,0.145,31836.0,43.51373346427539,0,1,"[(0.405, 0.145)]",[31836.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.397,0.797,37230.0,13.142623773440567,0,1,"[(0.397, 0.797)]",[37230.0],8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.187,0.214,6476.0,28.477824706251706,0,1,"[(0.187, 0.214)]",[6476.0],8,DivRI,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.044,0.723,21828.0,26.930230333859722,0,1,"[(0.044, 0.723)]",[21828.0],8,DivRI,a
8,Boot.ico    ,0.7014493,0.4589666,0.271,0.626,53276.0,87.72708767966941,0,1,"[(0.271, 0.626)]",[53276.0],8,DivRI,a
9,bottle.ico  ,0.3391304,0.2644377,0.326,0.334,27784.0,13.450230019399115,0,1,"[(0.326, 0.334)]",[27784.0],8,DivRI,a
10,Bow.ico     ,0.5913044,0.9148936,0.15,0.939,43339.0,83.97284073133139,0,1,"[(0.15, 0.939)]",[43339.0],8,DivRI,a
1,Calcul.ico  ,0.603,0.239,0.516,0.208,36253.0,17.548019831308597,0,3,"[(0.489, 0.393), (0.517, 0.32), (0.516, 0.208)]","[15536.0, 24068.0, 36253.0]",9,B,a
2,Camel.ico   ,0.679,0.674,0.729,0.762,57242.0,19.230403011897582,0,1,"[(0.729, 0.762)]",[57242.0],9,B,a
3,Camera.ico  ,0.278,0.346,0.397,0.418,50674.0,26.426397787061333,0,1,"[(0.397, 0.418)]",[50674.0],9,B,a
4,Candle.ico  ,0.2318841,0.09118541,0.236,0.162,25997.0,13.477479330623344,0,2,"[(0.225, 0.244), (0.236, 0.162)]","[7406.0, 25997.0]",9,B,a
5,Cap.ico     ,0.684058,0.9392097,0.519,0.881,10960.0,33.25407798488855,0,1,"[(0.519, 0.881)]",[10960.0],9,B,a
6,Cards.ico   ,0.8231884,0.4650456,0.712,0.431,41787.0,22.093955521330095,0,2,"[(0.724, 0.514), (0.712, 0.431)]","[34479.0, 41787.0]",9,B,a
7,Carrot.ico  ,0.2753623,0.8054711,0.172,0.81,30687.0,19.657679503788085,0,1,"[(0.172, 0.81)]",[30687.0],9,B,a
8,Caterp.ico  ,0.885,0.221,0.873,0.317,39989.0,18.381947666120695,0,3,"[(0.881, 0.38), (0.877, 0.219), (0.873, 0.317)]","[21947.0, 38023.0, 39989.0]",9,B,a
9,CD.ico      ,0.094,0.557,0.134,0.48,47989.0,16.48626397944666,0,1,"[(0.134, 0.48)]",[47989.0],9,B,a
10,Eagle.ico   ,0.4637681,0.5896657,0.538,0.601,70517.0,14.267521584389144,0,1,"[(0.538, 0.601)]",[70517.0],9,B,a
1,Calcul.ico  ,0.2927536,0.212766,0.375,0.244,74535.0,16.71571696905209,0,5,"[(-1.0, -1.0), (0.363, 0.344), (0.364, 0.217), (0.382, 0.334), (0.375, 0.244)]","[47790.0, 51655.0, 69224.0, 72608.0, 74535.0]",10,NT,a
2,Camel.ico   ,0.6289855,0.08510638,0.584,0.127,25271.0,11.679624091170654,0,1,"[(0.584, 0.127)]",[25271.0],10,NT,a
3,Camera.ico  ,0.3681159,0.556231,0.336,0.431,76951.0,24.56387309885274,0,1,"[(0.336, 0.431)]",[76951.0],10,NT,a
4,Candle.ico  ,0.2637681,0.8632219,0.086,0.168,71142.0,136.34204433329302,0,2,"[(0.112, 0.304), (0.086, 0.168)]","[33712.0, 71142.0]",10,NT,a
5,Cap.ico     ,0.581,0.461,0.585,0.874,65207.0,78.47368030110478,0,1,"[(0.585, 0.874)]",[65207.0],10,NT,a
6,Cards.ico   ,0.8550724,0.2218845,0.841,0.288,28817.0,12.843341984489895,0,1,"[(0.841, 0.288)]",[28817.0],10,NT,a
7,Carrot.ico  ,0.8869565,0.8449848,0.808,0.805,38817.0,16.815711812194234,0,1,"[(0.808, 0.805)]",[38817.0],10,NT,a
8,Caterp.ico  ,0.567,0.695,0.09,0.701,57053.0,90.63716952773845,0,1,"[(0.09, 0.701)]",[57053.0],10,NT,a
9,CD.ico      ,0.074,0.421,0.042,0.494,84200.0,15.144084653751776,0,1,"[(0.042, 0.494)]",[84200.0],10,NT,a
10,Eagle.ico   ,0.878,0.575,0.625,0.53,43254.0,48.824454938073806,0,1,"[(0.625, 0.53)]",[43254.0],10,NT,a
1,Calcul.ico  ,0.679,0.674,0.427,0.217,66026.0,99.15615613768013,0,1,"[(0.427, 0.217)]",[66026.0],11,SimRI,a
2,Camel.ico   ,0.278,0.346,0.397,0.767,82068.0,83.12407713773429,0,1,"[(0.397, 0.767)]",[82068.0],11,SimRI,a
3,Camera.ico  ,0.2318841,0.09118541,0.262,0.375,71076.0,54.22750750644343,0,1,"[(0.262, 0.375)]",[71076.0],11,SimRI,a
4,Candle.ico  ,0.684058,0.9392097,0.138,0.161,28797.0,180.62892161286092,0,1,"[(0.138, 0.161)]",[28797.0],11,SimRI,a
5,Cap.ico     ,0.885,0.221,0.663,0.888,78208.0,133.56513504653824,0,2,"[(0.502, 0.821), (0.663, 0.888)]","[18987.0, 78208.0]",11,SimRI,a
6,Cards.ico   ,0.094,0.557,0.647,0.124,60438.0,133.4468351067196,0,2,"[(0.887, 0.246), (0.647, 0.124)]","[41340.0, 60438.0]",11,SimRI,a
7,Carrot.ico  ,0.2753623,0.8054711,0.11,0.773,47518.0,32.0188406994015,0,1,"[(0.11, 0.773)]",[47518.0],11,SimRI,a
8,Caterp.ico  ,0.8231884,0.4650456,0.855,0.337,56143.0,25.068232766162666,0,1,"[(0.855, 0.337)]",[56143.0],11,SimRI,a
9,CD.ico      ,0.603,0.239,0.034,0.484,89696.0,117.70588175618073,0,1,"[(0.034, 0.484)]",[89696.0],11,SimRI,a
10,Eagle.ico   ,0.4637681,0.5896657,0.623,0.592,36874.0,30.257311749740914,0,1,"[(0.623, 0.592)]",[36874.0],11,SimRI,a
1,Cloaver.ico ,0.096,0.962,0.143,0.87,17638.0,19.628940368751437,0,1,"[(0.143, 0.87)]",[17638.0],12,B,a
2,Clock.ico   ,0.136,0.728,0.626,0.573,65409.0,97.64687655014879,0,1,"[(0.626, 0.573)]",[65409.0],12,B,a
3,Cola.ico    ,0.7507246,0.224924,0.731,0.241,8729.0,4.834735165846827,0,1,"[(0.731, 0.241)]",[8729.0],12,B,a
4,Compass.ico ,0.4144928,0.5197569,0.432,0.549,31302.0,6.475798041565624,0,1,"[(0.432, 0.549)]",[31302.0],12,B,a
5,Coptr.ico   ,0.3130435,0.7112462,0.337,0.705,41215.0,4.703906199267703,0,1,"[(0.337, 0.705)]",[41215.0],12,B,a
6,crab.ico    ,0.773913,0.7203647,0.538,0.816,62023.0,48.366497244691466,0,1,"[(0.538, 0.816)]",[62023.0],12,B,a
