trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,30.78562445231192,30.78562445231192,5225.0,01,0,0,2,a
1,P,2,6000,28.682513064233614,28.682513064233614,4253.0,01,0,0,2,a
2,P,2,0,183.13135583960837,94.22690956763213,18818.0,10,1,0,3,a
3,B,10,30000,405.1868341335573,297.7643693263103,42885.0,2693450781,0,5,11,a
4,NT,10,30000,274.9183489462188,267.72977855301434,45660.0,7123456089,1,0,11,a
5,SimRI,10,0,697.8703282974936,297.523484970696,43352.0,7692450813,0,8,10,a
6,B,10,30000,218.79395035788153,218.79395035788153,28745.0,0123456789,0,0,11,a
7,NT,10,30000,259.46019479487364,259.46019479487364,24344.0,0123456789,0,0,10,a
8,DivRI,10,0,329.08920870948464,292.09979097032317,38788.0,0928156734,1,3,12,a
9,B,10,30000,324.46368150630934,245.63353925805262,25842.0,0523476189,0,3,11,a
10,NT,10,30000,234.87198479598456,149.06184245244037,25571.0,0123756489,1,0,10,a
11,SimRI,10,0,943.2174753499112,398.01781435241725,54215.0,4239586017,0,9,13,a
12,B,10,30000,471.40361515923536,248.37313032281452,30856.0,0824356719,2,0,12,a
13,NT,10,30000,271.50985968087446,268.7375304581376,33298.0,0921456783,0,3,12,a
14,DivRI,10,0,526.2331988280857,325.6699321048338,51092.0,0429358716,0,6,11,a
15,DB,10,30000,390.88807866885753,247.83049292306447,39908.0,0183472659,0,5,11,b
16,D,10,0,1176.6463368698262,344.0432598645392,36327.0,7235894610,0,10,14,b
17,DB,10,30000,291.76295342940966,241.8883888171664,29642.0,0123654789,1,0,10,b
18,D,10,0,295.64367729455034,273.5570294639905,29884.0,0123654789,1,0,13,b
19,C,10,3000,80.2409581419436,80.2409581419436,100294.0,0123456789,0,0,23,b
