trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,115.05617197524907,62.30114993987604,14484.0,10,1,0,2,a
1,P,2,6000,49.650339566908265,49.650339566908265,5459.0,01,0,0,2,a
2,P,2,0,109.80712799153422,109.80712799153422,24326.0,01,0,0,2,a
3,B,10,30000,353.4871070597322,239.32727906515353,64242.0,6123458709,0,3,14,a
4,NT,10,30000,361.4500277030043,262.2955304970813,43941.0,0123458679,0,3,11,a
5,SimRI,10,0,578.2244771828921,200.4324961937253,47052.0,8130459762,0,6,11,a
6,B,10,30000,213.03247600687578,213.03247600687578,39436.0,0123456789,0,0,10,a
7,NT,10,30000,337.687112621223,326.2082586681947,42726.0,8123456709,1,0,10,a
8,DivRI,10,0,508.91278749827154,242.70520208481258,39410.0,0163452789,1,0,10,a
9,B,10,30000,355.000021155503,243.96075668529932,46101.0,5403612789,0,6,10,a
10,NT,10,30000,461.1955401542865,274.26705912322313,56855.0,0153279684,0,6,10,a
11,SimRI,10,0,483.6847052591592,235.80486487719764,62604.0,2903756184,1,4,10,a
12,B,10,30000,295.58867317574374,214.49682678049157,46364.0,0183456729,1,0,11,a
13,NT,10,30000,343.73944229163016,180.240142881476,35409.0,0153426789,1,0,10,a
14,DivRI,10,0,327.4313208453218,261.09852213561976,49095.0,0182456739,0,3,12,a
15,DB,10,30000,267.68004439521445,257.24097958922164,37748.0,0123496785,1,0,10,b
16,D,10,0,228.27252316839403,228.27252316839403,51360.0,0123456789,0,0,12,b
17,DB,10,30000,241.2822396944643,212.21175293996015,39403.0,0723456189,1,0,10,b
18,D,10,0,214.199533251695,198.8963462854101,53017.0,0723456189,1,0,12,b
19,C,10,3000,92.57903015661302,92.57903015661302,82892.0,0123456789,0,0,10,b
