object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.492,0.633,8499.0,43.17350229017794,0,1,"[(0.492, 0.633)]",[8499.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.247,0.768,19622.0,67.42216326995153,0,2,"[(-1.0, -1.0), (0.247, 0.768)]","[11872.0, 19622.0]",0,P,a
1,Hat.ico     ,0.381,0.357,0.39,0.29,3299.0,12.844337273678235,0,1,"[(0.39, 0.29)]",[3299.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.721,0.418,17708.0,19.724342828089352,0,4,"[(0.737, 0.333), (0.745, 0.311), (0.75, 0.318), (0.721, 0.418)]","[5620.0, 8351.0, 12247.0, 17708.0]",1,P,a
1,Hat.ico     ,0.512,0.532,0.538,0.593,8881.0,12.5988769340763,0,1,"[(0.538, 0.593)]",[8881.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.274,0.738,11178.0,17.198936013602708,0,1,"[(0.274, 0.738)]",[11178.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.727,0.445,9299.0,19.454367118978706,0,1,"[(0.727, 0.445)]",[9299.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.104,0.901,19854.0,31.17802629192311,0,1,"[(0.104, 0.901)]",[19854.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.563,0.113,24435.0,7.583344903821279,0,1,"[(0.563, 0.113)]",[24435.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.091,0.461,38588.0,35.2499929078007,0,3,"[(0.078, 0.456), (0.186, 0.413), (0.091, 0.461)]","[14356.0, 17178.0, 38588.0]",3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.085,0.08,3598.0,11.18676473118127,0,1,"[(0.085, 0.08)]",[3598.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.835,0.12,6144.0,15.616038209141148,0,1,"[(0.835, 0.12)]",[6144.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.783,0.631,12092.0,14.757040319257653,0,1,"[(0.783, 0.631)]",[12092.0],3,B,a
