object index,object name,correct x,correct y,final placement x,final placement y,final time (ms),absolute distance,correct result,number placements,all placements,all times,trial,trial type,run
1,Hat.ico     ,0.339,0.801,0.202,0.798,14542.0,26.036240127944744,0,1,"[(0.202, 0.798)]",[14542.0],0,P,a
2,HORLOGE.ICO ,0.512,0.532,0.461,0.625,11929.0,20.1525432638166,0,1,"[(0.461, 0.625)]",[11929.0],0,P,a
1,Hat.ico     ,0.381,0.357,0.772,0.707,14248.0,99.70583784312733,0,1,"[(0.772, 0.707)]",[14248.0],1,P,a
2,HORLOGE.ICO ,0.822,0.442,0.23,0.498,19741.0,112.98212247962064,0,1,"[(0.23, 0.498)]",[19741.0],1,P,a
1,Hat.ico     ,0.512,0.532,0.273,0.588,39870.0,46.63987242692672,0,1,"[(0.273, 0.588)]",[39870.0],2,P,a
2,HORLOGE.ICO ,0.339,0.801,0.742,0.713,32989.0,78.37425151157744,0,1,"[(0.742, 0.713)]",[32989.0],2,P,a
1,AARDAPP.ICO ,0.827,0.467,0.893,0.421,172065.0,15.285260874450277,0,1,"[(0.893, 0.421)]",[172065.0],3,B,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.143,0.688,12902.0,10.053264792088592,0,1,"[(0.143, 0.688)]",[12902.0],3,B,a
3,Alarm.ico   ,0.5971014,0.1337386,0.544,0.241,86457.0,22.740362237447133,0,1,"[(0.544, 0.241)]",[86457.0],3,B,a
4,Ambul.ico   ,0.055,0.279,0.844,0.581,109242.0,160.51626864589144,0,1,"[(0.844, 0.581)]",[109242.0],3,B,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.669,0.39,143682.0,121.77380897192468,0,1,"[(0.669, 0.39)]",[143682.0],3,B,a
6,Anchor.ico  ,0.9130435,0.09422492,0.901,0.21,64855.0,22.115963306836893,0,1,"[(0.901, 0.21)]",[64855.0],3,B,a
7,Ant.ico     ,0.7188406,0.674772,0.772,0.277,213129.0,76.24860875520416,0,1,"[(0.772, 0.277)]",[213129.0],3,B,a
8,Apple.ico   ,0.8898551,0.9300912,0.222,0.314,192897.0,172.63868838535456,0,1,"[(0.222, 0.314)]",[192897.0],3,B,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.382,0.478,46281.0,26.432813340155857,0,1,"[(0.382, 0.478)]",[46281.0],3,B,a
10,Bag.ico     ,0.4405797,0.2826748,0.244,0.574,29912.0,66.77464801043426,0,1,"[(0.244, 0.574)]",[29912.0],3,B,a
1,AARDAPP.ICO ,0.4289855,0.325228,0.538,0.217,182081.0,29.186783808984934,0,1,"[(0.538, 0.217)]",[182081.0],4,NT,a
2,AARDBEI.ICO ,0.159,0.027,0.12,0.344,8291.0,60.68410829863119,0,1,"[(0.12, 0.344)]",[8291.0],4,NT,a
3,Alarm.ico   ,0.034,0.486,0.2,0.505,40682.0,31.745924147833534,0,1,"[(0.2, 0.505)]",[40682.0],4,NT,a
4,Ambul.ico   ,0.4869565,0.04863222,0.846,0.366,73357.0,91.04837719885543,0,1,"[(0.846, 0.366)]",[73357.0],4,NT,a
5,ANANAS.ICO  ,0.1594203,0.7294833,0.885,0.611,171041.0,139.68608156455096,0,1,"[(0.885, 0.611)]",[171041.0],4,NT,a
6,Anchor.ico  ,0.73,0.201,0.887,0.202,88348.0,29.83060508940441,0,1,"[(0.887, 0.202)]",[88348.0],4,NT,a
7,Ant.ico     ,0.217,0.948,0.688,0.671,99814.0,103.81896262244194,0,1,"[(0.688, 0.671)]",[99814.0],4,NT,a
8,Apple.ico   ,0.415,0.725,0.138,0.814,126684.0,55.27987879870938,0,1,"[(0.138, 0.814)]",[126684.0],4,NT,a
9,AUTO.ICO    ,0.8985507,0.9392097,0.363,0.307,145013.0,157.4254808450949,0,1,"[(0.363, 0.307)]",[145013.0],4,NT,a
10,Bag.ico     ,0.759,0.02,0.427,0.702,118706.0,144.118225079273,0,1,"[(0.427, 0.702)]",[118706.0],4,NT,a
1,AARDAPP.ICO ,0.827,0.467,0.555,0.791,170854.0,80.37696187341244,0,1,"[(0.555, 0.791)]",[170854.0],5,SimRI,a
2,AARDBEI.ICO ,0.1275362,0.7386018,0.775,0.795,190873.0,123.48394092666402,0,2,"[(0.816, 0.762), (0.775, 0.795)]","[77752.0, 190873.0]",5,SimRI,a
3,Alarm.ico   ,0.5971014,0.1337386,0.317,0.334,209887.0,65.42222371862876,0,1,"[(0.317, 0.334)]",[209887.0],5,SimRI,a
4,Ambul.ico   ,0.055,0.279,0.24,0.461,133983.0,49.30820317148051,0,1,"[(0.24, 0.461)]",[133983.0],5,SimRI,a
5,ANANAS.ICO  ,0.1304348,0.04255319,0.164,0.77,110161.0,138.36194553955508,0,1,"[(0.164, 0.77)]",[110161.0],5,SimRI,a
6,Anchor.ico  ,0.9130435,0.09422492,0.811,0.51,39680.0,81.3417035031192,0,1,"[(0.811, 0.51)]",[39680.0],5,SimRI,a
7,Ant.ico     ,0.7188406,0.674772,0.699,0.658,222572.0,4.936159748650376,0,1,"[(0.699, 0.658)]",[222572.0],5,SimRI,a
8,Apple.ico   ,0.8898551,0.9300912,0.791,0.293,192502.0,122.49586424722894,0,2,"[(0.854, 0.743), (0.791, 0.293)]","[185419.0, 192502.0]",5,SimRI,a
9,AUTO.ICO    ,0.2550725,0.5349544,0.517,0.399,94373.0,56.070804081050255,0,1,"[(0.517, 0.399)]",[94373.0],5,SimRI,a
10,Bag.ico     ,0.4405797,0.2826748,0.44,0.618,52351.0,63.711883205861945,0,1,"[(0.44, 0.618)]",[52351.0],5,SimRI,a
1,Bike.ico    ,0.149,0.929,0.881,0.708,166488.0,145.28044087212842,0,1,"[(0.881, 0.708)]",[166488.0],6,B,a
2,black.ico   ,0.3246377,0.8844985,0.468,0.767,143358.0,35.218562448569564,0,1,"[(0.468, 0.767)]",[143358.0],6,B,a
3,BLAD.ICO    ,0.868,0.526,0.582,0.307,121807.0,68.44141801570159,0,1,"[(0.582, 0.307)]",[121807.0],6,B,a
4,BLUSSER.ICO ,0.634,0.148,0.729,0.759,93273.0,117.48485264067023,0,1,"[(0.729, 0.759)]",[93273.0],6,B,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.123,0.495,178155.0,64.8619731005017,0,1,"[(0.123, 0.495)]",[178155.0],6,B,a
6,Bomb.ico    ,0.055,0.143,0.412,0.374,39472.0,80.79134235795318,0,1,"[(0.412, 0.374)]",[39472.0],6,B,a
7,BOOM.ICO    ,0.06956521,0.5835866,0.097,0.664,7472.0,16.143273271822494,0,1,"[(0.097, 0.664)]",[7472.0],6,B,a
8,Boot.ico    ,0.7014493,0.4589666,0.879,0.331,110438.0,41.58340094889311,0,1,"[(0.879, 0.331)]",[110438.0],6,B,a
9,bottle.ico  ,0.3391304,0.2644377,0.255,0.484,25168.0,44.6744619783467,0,1,"[(0.255, 0.484)]",[25168.0],6,B,a
10,Bow.ico     ,0.5913044,0.9148936,0.893,0.489,75970.0,99.16572960579452,0,1,"[(0.893, 0.489)]",[75970.0],6,B,a
1,Box.ico     ,0.5449275,0.2097264,0.341,0.432,141099.0,57.31326569239342,0,1,"[(0.341, 0.432)]",[141099.0],7,NT,a
2,BRAIN.ICO   ,0.06,0.537,0.164,0.783,76211.0,50.74529731906199,0,1,"[(0.164, 0.783)]",[76211.0],7,NT,a
3,BRIEF.ICO   ,0.08405797,0.05775076,0.104,0.307,11708.0,47.508689121671786,0,1,"[(0.104, 0.307)]",[11708.0],7,NT,a
4,BRIL.ICO    ,0.929,0.689,0.298,0.603,205945.0,120.99837891476068,0,1,"[(0.298, 0.603)]",[205945.0],7,NT,a
5,BTRHAM.ICO  ,0.37,0.394,0.604,0.516,108296.0,50.13984443533904,0,1,"[(0.604, 0.516)]",[108296.0],7,NT,a
6,Bus.ico     ,0.249,0.921,0.833,0.399,170637.0,148.82470896998254,0,1,"[(0.833, 0.399)]",[170637.0],7,NT,a
7,Butterf.ico ,0.109,0.822,0.434,0.759,131470.0,62.89947058600732,0,1,"[(0.434, 0.759)]",[131470.0],7,NT,a
8,Cactus.ico  ,0.897,0.157,0.626,0.754,188922.0,124.5695990199856,0,2,"[(-1.0, -1.0), (0.626, 0.754)]","[178861.0, 188922.0]",7,NT,a
9,CADEAU.ICO  ,0.1507246,0.2462006,0.794,0.641,71145.0,143.40529981185242,0,1,"[(0.794, 0.641)]",[71145.0],7,NT,a
10,Cake.ico    ,0.477,0.03,0.116,0.508,35287.0,113.810634388883,0,1,"[(0.116, 0.508)]",[35287.0],7,NT,a
1,Bike.ico    ,0.149,0.929,0.595,0.54,86586.0,112.4435667346069,0,1,"[(0.595, 0.54)]",[86586.0],8,DivRI,a
2,black.ico   ,0.3246377,0.8844985,0.356,0.524,148665.0,68.7534269787608,0,1,"[(0.356, 0.524)]",[148665.0],8,DivRI,a
3,BLAD.ICO    ,0.868,0.526,0.822,0.513,47251.0,9.08231798606502,0,1,"[(0.822, 0.513)]",[47251.0],8,DivRI,a
4,BLUSSER.ICO ,0.634,0.148,0.697,0.363,159819.0,42.567633244050576,0,1,"[(0.697, 0.363)]",[159819.0],8,DivRI,a
5,BOEK.ICO    ,0.3652174,0.7355623,0.29,0.846,181916.0,25.38768513807836,0,1,"[(0.29, 0.846)]",[181916.0],8,DivRI,a
6,Bomb.ico    ,0.055,0.143,0.135,0.663,123483.0,99.9623929285409,0,1,"[(0.135, 0.663)]",[123483.0],8,DivRI,a
