trial index,trial type,number objects,encoding time (ms),absolute error score,bestfit score,final time (ms),permutations,swaps,substitutions,repetitions,run
0,P,2,6000,52.049875393856034,52.049875393856034,16387.0,01,0,0,2,a
1,P,2,6000,43.857221934184125,43.857221934184125,8439.0,01,0,0,2,a
2,P,2,0,159.3019252735308,147.37873530497205,66248.0,10,1,0,2,a
3,B,10,30000,530.2267155924542,274.8264003029466,102219.0,1793450682,1,4,10,a
4,NT,10,30000,951.907391514077,340.60309916097583,183905.0,1264798305,1,8,11,a
5,SimRI,10,0,1021.5528476213585,315.8505172622816,162121.0,7024593861,0,9,11,a
6,B,10,30000,628.5292995966157,384.21890577443,113030.0,0178956432,1,4,10,a
7,NT,10,30000,867.7682297002901,349.38500346466265,152034.0,6821743059,0,8,11,a
8,DivRI,10,0,864.7623971765817,339.1699475294255,124388.0,7428056193,0,7,10,a
9,B,10,30000,646.3084916825895,327.43219627049797,132444.0,0168472395,1,5,10,a
10,NT,10,30000,583.3944155197431,275.8991243872204,135591.0,3026715489,1,5,10,a
11,SimRI,10,0,1139.9568152094994,290.8721260586199,175915.0,9702368145,1,8,11,a
12,B,10,30000,822.8684855918643,566.9848981913944,125717.0,7185026349,0,7,10,a
13,NT,10,30000,590.2332180109777,237.156300673575,107417.0,3420156987,3,0,15,a
14,DivRI,10,0,747.3550050805111,372.50735099142133,116730.0,4196382750,1,6,10,a
15,DB,10,30000,907.1489689474098,312.4926299937662,147734.0,7238406159,0,7,10,b
16,D,10,0,1173.977015976825,366.26652964938864,121049.0,6143028957,1,6,10,b
17,DB,10,30000,898.4808821079697,295.0778877962844,159047.0,4028593671,0,9,11,b
18,D,10,0,1018.9071351650201,279.0069308018012,168805.0,9137428065,1,6,10,b
19,C,10,3000,104.52094561468068,104.52094561468068,177750.0,0123456789,0,0,14,b
